source,target
Teatro_Moderno,Integrazione_recite
Teatro_Moderno,Trieste
Teatro_Moderno,Compagnia_teatrale
Teatro_delle_Dieci,Importo_100000_2
Teatro_delle_Dieci,17_luglio_1969
Teatro_delle_Dieci,Verbale_n.222
Teatro_delle_Dieci,Stagione_1968-1969
Teatro_delle_Dieci,Integrazione_recite
Teatro_delle_Dieci,Venezia
Teatro_delle_Dieci,Compagnia_teatrale
Teatro_delle_Arti_(Pepppino_De_Filippo),Importo_5000000_4
Teatro_delle_Arti_(Pepppino_De_Filippo),17_luglio_1969
Teatro_delle_Arti_(Pepppino_De_Filippo),Verbale_n.222
Teatro_delle_Arti_(Pepppino_De_Filippo),Stagione_1968-1969
Teatro_delle_Arti_(Pepppino_De_Filippo),Premio_finale
Teatro_delle_Arti_(Pepppino_De_Filippo),Roma
Teatro_delle_Arti_(Pepppino_De_Filippo),Teatro
Teatro_Comico_(Macario),Importo_350000_1
Teatro_Comico_(Macario),17_luglio_1969
Teatro_Comico_(Macario),Verbale_n.222
Teatro_Comico_(Macario),Stagione_1968-1969
Teatro_Comico_(Macario),Integrazione_recite
Teatro_Comico_(Macario),Venezia
Teatro_Comico_(Macario),Compagnia_teatrale
Teatro_Accademico_dell'Università_de_L'Aquila,Importo_1500000_5
Teatro_Accademico_dell'Università_de_L'Aquila,30_ottobre_1969
Teatro_Accademico_dell'Università_de_L'Aquila,Verbale_n.223
Teatro_Accademico_dell'Università_de_L'Aquila,Stagione_1968-1969
Teatro_Accademico_dell'Università_de_L'Aquila,Premio_finale
Teatro_Accademico_dell'Università_de_L'Aquila,L'Aquila
Teatro_Accademico_dell'Università_de_L'Aquila,Teatro_Universitario
Stabile_del_Teatro_Milanese,Importo_10000000_1
Stabile_del_Teatro_Milanese,17_luglio_1969
Stabile_del_Teatro_Milanese,Verbale_n.222
Stabile_del_Teatro_Milanese,Stagione_1968-1969
Stabile_del_Teatro_Milanese,Premio_finale
Stabile_del_Teatro_Milanese,Compagnia_teatrale
Spettacoli_M.A._(Modugno),Importo_800000_1
Spettacoli_M.A._(Modugno),17_luglio_1969
Spettacoli_M.A._(Modugno),Verbale_n.222
Spettacoli_M.A._(Modugno),Stagione_1968-1969
